,pickup,dropoff,passengers,distance,fare,tip,tolls,total,color,payment,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough,time_duration,duration_in_minutes,trip_hour,trip_day,trip_day_num
63,2019-03-28 21:59:44,2019-03-28 22:04:04,4,1.02,5.5,0.0,0.0,9.3,yellow,cash,Penn Station/Madison Sq West,Garment District,Manhattan,Manhattan,0 days 00:04:20,4.333333333333333,21,Thursday,4
64,2019-03-26 10:14:55,2019-03-26 10:26:58,6,1.38,9.0,3.08,0.0,15.38,yellow,credit card,Midtown South,Midtown Center,Manhattan,Manhattan,0 days 00:12:03,12.05,10,Tuesday,2
65,2019-03-02 19:08:25,2019-03-02 19:31:42,1,2.42,15.5,3.76,0.0,22.56,yellow,credit card,Hudson Sq,Times Sq/Theatre District,Manhattan,Manhattan,0 days 00:23:17,23.283333333333335,19,Saturday,6
66,2019-03-15 13:42:03,2019-03-15 13:49:00,1,0.66,6.0,2.79,0.0,12.09,yellow,credit card,Lenox Hill West,Lenox Hill West,Manhattan,Manhattan,0 days 00:06:57,6.95,13,Friday,5
67,2019-03-04 13:39:06,2019-03-04 13:58:52,1,3.3,15.5,0.0,0.0,18.8,yellow,cash,Garment District,Yorkville East,Manhattan,Manhattan,0 days 00:19:46,19.766666666666666,13,Monday,1
68,2019-03-22 02:22:01,2019-03-22 02:30:21,3,1.22,7.5,0.0,0.0,11.3,yellow,cash,Clinton East,Midtown North,Manhattan,Manhattan,0 days 00:08:20,8.333333333333334,2,Friday,5
69,2019-03-31 15:43:37,2019-03-31 15:53:39,1,0.55,7.5,1.5,0.0,12.3,yellow,credit card,Clinton East,Times Sq/Theatre District,Manhattan,Manhattan,0 days 00:10:02,10.033333333333333,15,Sunday,0
70,2019-03-27 19:27:17,2019-03-27 19:48:47,1,3.51,16.5,1.0,0.0,21.8,yellow,credit card,Union Sq,Upper East Side North,Manhattan,Manhattan,0 days 00:21:30,21.5,19,Wednesday,3
71,2019-03-13 07:34:09,2019-03-13 07:38:18,1,1.07,5.5,1.76,0.0,10.56,yellow,credit card,East Chelsea,Garment District,Manhattan,Manhattan,0 days 00:04:09,4.15,7,Wednesday,3
72,2019-03-12 15:44:53,2019-03-12 16:02:05,1,1.98,11.5,2.96,0.0,17.76,yellow,credit card,Yorkville West,Upper West Side North,Manhattan,Manhattan,0 days 00:17:12,17.2,15,Tuesday,2
73,2019-03-29 08:48:46,2019-03-29 08:56:07,1,1.0,6.5,1.95,0.0,11.75,yellow,credit card,Murray Hill,Union Sq,Manhattan,Manhattan,0 days 00:07:21,7.35,8,Friday,5
74,2019-03-02 23:05:12,2019-03-02 23:17:34,1,1.85,10.0,0.0,0.0,13.8,yellow,cash,Clinton East,Lenox Hill West,Manhattan,Manhattan,0 days 00:12:22,12.366666666666667,23,Saturday,6
75,2019-03-17 01:28:28,2019-03-17 02:04:54,1,7.95,30.0,0.0,0.0,33.8,yellow,cash,Flatiron,Jackson Heights,Manhattan,Queens,0 days 00:36:26,36.43333333333333,1,Sunday,0
76,2019-03-09 13:42:08,2019-03-09 13:48:46,1,1.0,6.5,0.0,0.0,9.8,yellow,cash,Upper East Side North,Midtown East,Manhattan,Manhattan,0 days 00:06:38,6.633333333333334,13,Saturday,6
77,2019-03-05 15:41:23,2019-03-05 15:46:30,1,0.6,5.0,1.65,0.0,9.95,yellow,credit card,Midtown Center,Midtown Center,Manhattan,Manhattan,0 days 00:05:07,5.116666666666666,15,Tuesday,2
78,2019-03-18 19:57:00,2019-03-18 20:06:22,2,1.57,8.5,1.8,0.0,14.6,yellow,credit card,Central Park,Midtown North,Manhattan,Manhattan,0 days 00:09:22,9.366666666666667,19,Monday,1
79,2019-03-17 22:47:36,2019-03-17 22:55:32,1,1.3,7.5,2.25,0.0,13.55,yellow,credit card,West Chelsea/Hudson Yards,Meatpacking/West Village West,Manhattan,Manhattan,0 days 00:07:56,7.933333333333334,22,Sunday,0
80,2019-03-15 23:46:05,2019-03-15 23:59:52,1,1.47,9.5,0.0,0.0,13.3,yellow,cash,Midtown East,Penn Station/Madison Sq West,Manhattan,Manhattan,0 days 00:13:47,13.783333333333333,23,Friday,5
81,2019-03-16 18:57:19,2019-03-16 19:00:16,2,0.4,4.0,0.0,0.0,7.3,yellow,cash,Upper East Side North,Upper East Side North,Manhattan,Manhattan,0 days 00:02:57,2.95,18,Saturday,6
82,2019-03-14 11:55:26,2019-03-14 12:08:32,6,1.84,10.0,2.66,0.0,15.96,yellow,credit card,East Harlem South,Upper East Side South,Manhattan,Manhattan,0 days 00:13:06,13.1,11,Thursday,4
83,2019-03-16 21:03:35,2019-03-16 21:21:58,1,2.5,12.5,1.5,0.0,17.8,yellow,credit card,Meatpacking/West Village West,Chinatown,Manhattan,Manhattan,0 days 00:18:23,18.383333333333333,21,Saturday,6
84,2019-03-09 19:54:40,2019-03-09 20:07:27,2,1.5,9.5,0.0,0.0,12.8,yellow,cash,Gramercy,Penn Station/Madison Sq West,Manhattan,Manhattan,0 days 00:12:47,12.783333333333333,19,Saturday,6
85,2019-03-03 16:44:20,2019-03-03 16:48:36,1,1.02,5.0,2.08,0.0,10.38,yellow,credit card,Kips Bay,Stuy Town/Peter Cooper Village,Manhattan,Manhattan,0 days 00:04:16,4.266666666666667,16,Sunday,0
86,2019-03-04 20:20:15,2019-03-04 20:24:14,1,0.6,5.0,0.0,0.0,6.3,yellow,cash,Morningside Heights,Morningside Heights,Manhattan,Manhattan,0 days 00:03:59,3.9833333333333334,20,Monday,1
87,2019-03-28 22:57:05,2019-03-28 23:16:56,1,4.1,16.0,0.0,0.0,19.8,yellow,cash,Hudson Sq,Lincoln Square East,Manhattan,Manhattan,0 days 00:19:51,19.85,22,Thursday,4
88,2019-03-16 05:08:02,2019-03-16 05:08:20,1,0.07,2.5,0.0,0.0,3.8,yellow,cash,Astoria,Astoria,Queens,Queens,0 days 00:00:18,0.3,5,Saturday,6
89,2019-03-27 22:22:30,2019-03-27 22:41:40,1,5.99,20.0,5.95,0.0,29.75,yellow,credit card,Greenwich Village South,Yorkville West,Manhattan,Manhattan,0 days 00:19:10,19.166666666666668,22,Wednesday,3
90,2019-03-07 10:39:25,2019-03-07 11:05:01,5,2.55,16.5,0.0,0.0,19.8,yellow,cash,Midtown Center,Little Italy/NoLiTa,Manhattan,Manhattan,0 days 00:25:36,25.6,10,Thursday,4
91,2019-03-11 08:46:09,2019-03-11 08:47:21,1,0.3,3.0,0.95,0.0,7.25,yellow,credit card,Upper East Side North,Upper East Side North,Manhattan,Manhattan,0 days 00:01:12,1.2,8,Monday,1
92,2019-03-28 07:05:19,2019-03-28 07:41:14,0,10.6,33.5,0.0,5.76,40.06,yellow,credit card,East Tremont,Midtown East,Bronx,Manhattan,0 days 00:35:55,35.916666666666664,7,Thursday,4
93,2019-03-12 12:02:26,2019-03-12 12:17:00,3,0.66,9.5,1.2,0.0,14.0,yellow,credit card,Sutton Place/Turtle Bay North,Midtown Center,Manhattan,Manhattan,0 days 00:14:34,14.566666666666666,12,Tuesday,2
94,2019-03-06 20:00:28,2019-03-06 20:11:50,3,2.6,11.0,4.4,0.0,19.2,yellow,credit card,Upper East Side South,Upper West Side North,Manhattan,Manhattan,0 days 00:11:22,11.366666666666667,20,Wednesday,3
95,2019-03-28 21:30:43,2019-03-28 21:42:10,1,1.6,9.0,2.55,0.0,15.35,yellow,credit card,Penn Station/Madison Sq West,Stuy Town/Peter Cooper Village,Manhattan,Manhattan,0 days 00:11:27,11.45,21,Thursday,4
96,2019-03-13 16:11:26,2019-03-13 16:28:42,1,3.21,13.5,0.0,0.0,17.8,yellow,cash,Financial District South,Downtown Brooklyn/MetroTech,Manhattan,Brooklyn,0 days 00:17:16,17.266666666666666,16,Wednesday,3
97,2019-03-04 22:34:00,2019-03-04 22:41:34,1,1.3,7.5,0.5,0.0,11.8,yellow,credit card,Midtown Center,Upper East Side South,Manhattan,Manhattan,0 days 00:07:34,7.566666666666666,22,Monday,1
98,2019-03-08 19:10:16,2019-03-08 19:18:32,2,0.9,7.0,0.0,0.0,11.3,yellow,cash,Midtown North,Times Sq/Theatre District,Manhattan,Manhattan,0 days 00:08:16,8.266666666666667,19,Friday,5
99,2019-03-02 10:47:45,2019-03-02 10:56:08,3,0.95,7.5,2.16,0.0,12.96,yellow,credit card,West Village,Flatiron,Manhattan,Manhattan,0 days 00:08:23,8.383333333333333,10,Saturday,6
100,2019-03-28 11:28:29,2019-03-28 11:49:30,1,1.79,13.5,3.36,0.0,20.16,yellow,credit card,Lincoln Square East,Midtown South,Manhattan,Manhattan,0 days 00:21:01,21.016666666666666,11,Thursday,4
101,2019-03-29 14:24:32,2019-03-29 14:31:52,1,1.15,7.0,2.06,0.0,12.36,yellow,credit card,Midtown Center,Lenox Hill West,Manhattan,Manhattan,0 days 00:07:20,7.333333333333333,14,Friday,5
102,2019-03-01 07:34:30,2019-03-01 07:40:58,1,1.2,6.5,0.0,0.0,9.8,yellow,cash,Bloomingdale,Upper West Side North,Manhattan,Manhattan,0 days 00:06:28,6.466666666666667,7,Friday,5
103,2019-03-31 11:50:36,2019-03-31 11:54:00,4,0.43,4.0,0.0,0.0,7.3,yellow,cash,Union Sq,Union Sq,Manhattan,Manhattan,0 days 00:03:24,3.4,11,Sunday,0
104,2019-03-28 13:29:48,2019-03-28 13:56:36,3,9.5,30.0,0.0,5.76,39.06,yellow,cash,Queensboro Hill,Midtown South,Queens,Manhattan,0 days 00:26:48,26.8,13,Thursday,4
105,2019-03-12 17:05:47,2019-03-12 17:12:12,1,1.1,6.5,2.15,0.0,12.95,yellow,credit card,Central Park,Upper West Side North,Manhattan,Manhattan,0 days 00:06:25,6.416666666666667,17,Tuesday,2
106,2019-03-08 18:43:42,2019-03-08 18:57:17,1,2.06,10.0,2.86,0.0,17.16,yellow,credit card,Gramercy,Midtown Center,Manhattan,Manhattan,0 days 00:13:35,13.583333333333334,18,Friday,5
107,2019-03-04 17:49:31,2019-03-04 17:55:25,1,0.78,5.5,1.47,0.0,11.27,yellow,credit card,Union Sq,Midtown South,Manhattan,Manhattan,0 days 00:05:54,5.9,17,Monday,1
108,2019-03-22 13:23:05,2019-03-22 13:43:15,4,2.42,13.5,2.0,0.0,18.8,yellow,credit card,Midtown South,Clinton West,Manhattan,Manhattan,0 days 00:20:10,20.166666666666668,13,Friday,5
109,2019-03-09 23:57:28,2019-03-10 00:16:04,1,2.73,13.0,1.0,0.0,17.8,yellow,credit card,SoHo,DUMBO/Vinegar Hill,Manhattan,Brooklyn,0 days 00:18:36,18.6,23,Saturday,6
110,2019-03-20 10:12:24,2019-03-20 10:31:36,1,5.7,20.0,4.65,0.0,27.95,yellow,credit card,Yorkville West,Greenwich Village South,Manhattan,Manhattan,0 days 00:19:12,19.2,10,Wednesday,3
111,2019-03-15 10:56:56,2019-03-15 11:37:02,1,11.93,39.5,9.71,5.76,58.27,yellow,credit card,Times Sq/Theatre District,LaGuardia Airport,Manhattan,Queens,0 days 00:40:06,40.1,10,Friday,5
112,2019-03-22 23:19:12,2019-03-22 23:31:20,1,1.7,10.0,2.75,0.0,16.55,yellow,credit card,Midtown Center,Upper West Side South,Manhattan,Manhattan,0 days 00:12:08,12.133333333333333,23,Friday,5
113,2019-03-30 12:28:42,2019-03-30 12:49:34,1,2.9,15.0,0.0,0.0,18.3,yellow,cash,Penn Station/Madison Sq West,Upper West Side South,Manhattan,Manhattan,0 days 00:20:52,20.866666666666667,12,Saturday,6
114,2019-03-05 12:17:49,2019-03-05 12:36:12,1,5.98,19.0,5.58,0.0,27.88,yellow,credit card,Brooklyn Heights,Murray Hill,Brooklyn,Manhattan,0 days 00:18:23,18.383333333333333,12,Tuesday,2
115,2019-03-01 16:10:56,2019-03-01 16:15:58,1,0.65,5.0,1.86,0.0,11.16,yellow,credit card,Midtown Center,Sutton Place/Turtle Bay North,Manhattan,Manhattan,0 days 00:05:02,5.033333333333333,16,Friday,5
116,2019-03-25 15:43:32,2019-03-25 15:58:23,1,1.76,10.5,0.0,0.0,13.8,yellow,cash,Times Sq/Theatre District,Flatiron,Manhattan,Manhattan,0 days 00:14:51,14.85,15,Monday,1
117,2019-03-23 09:39:25,2019-03-23 09:56:45,0,3.6,15.5,3.75,0.0,22.55,yellow,credit card,Yorkville East,Penn Station/Madison Sq West,Manhattan,Manhattan,0 days 00:17:20,17.333333333333332,9,Saturday,6
118,2019-03-11 10:00:32,2019-03-11 10:04:24,2,0.58,4.5,0.78,0.0,8.58,yellow,credit card,Upper East Side South,Upper East Side North,Manhattan,Manhattan,0 days 00:03:52,3.8666666666666667,10,Monday,1
119,2019-03-14 23:29:02,2019-03-14 23:37:17,1,1.22,7.0,0.0,0.0,10.8,yellow,cash,Alphabet City,East Village,Manhattan,Manhattan,0 days 00:08:15,8.25,23,Thursday,4
120,2019-03-21 17:21:44,2019-03-21 17:21:49,1,0.0,2.5,0.0,0.0,4.3,yellow,cash,JFK Airport,JFK Airport,Queens,Queens,0 days 00:00:05,0.08333333333333333,17,Thursday,4
121,2019-03-13 20:00:10,2019-03-13 20:14:34,1,2.1,11.0,3.05,0.0,18.35,yellow,credit card,East Chelsea,East Village,Manhattan,Manhattan,0 days 00:14:24,14.4,20,Wednesday,3
122,2019-03-10 20:36:47,2019-03-10 20:47:33,2,2.0,9.5,1.62,0.0,12.42,yellow,credit card,Manhattan Valley,East Harlem South,Manhattan,Manhattan,0 days 00:10:46,10.766666666666667,20,Sunday,0
123,2019-03-20 21:17:25,2019-03-20 21:22:39,1,0.83,5.5,0.0,0.0,9.3,yellow,cash,Clinton East,Midtown Center,Manhattan,Manhattan,0 days 00:05:14,5.233333333333333,21,Wednesday,3
124,2019-03-04 13:06:09,2019-03-04 13:16:31,1,1.79,9.5,1.0,0.0,13.8,yellow,credit card,Midtown Center,Upper East Side North,Manhattan,Manhattan,0 days 00:10:22,10.366666666666667,13,Monday,1
